Format Version,1.22,Take Name,River Flow Quickly,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 11.04.30.442 AM,Total Frames in Take,6515,Total Exported Frames,6515,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,-0.690818,0.027817,0.722462,-0.006701,-3.985528,0.907542,-2.378840,0.000000,-4.210847,0.917116,-2.376117,0.749055,-3.931360,0.904077,-2.489220,0.863355,-3.929612,0.904418,-2.271948,0.787935,-3.870294,0.904558,-2.378072,0.856908,-4.210847,0.917116,-2.376117,-3.931360,0.904077,-2.489220,-3.929612,0.904418,-2.271948,-3.870294,0.904558,-2.378072,0.240375,0.042094,-14.730833,0.430580,-0.013903,-14.591558,0.265408,0.030648,-14.783555,0.392130,0.020527,-14.794797,0.441557,0.033750,-14.752064,,,,,,,,,
17,0.047222,-0.690909,0.028422,0.722344,-0.007432,-3.985620,0.907434,-2.378809,0.000000,-4.210941,0.916961,-2.376164,0.749055,-3.931422,0.903772,-2.489169,0.863355,-3.929731,0.904524,-2.271898,0.787935,-3.870385,0.904477,-2.378006,0.856908,-4.210941,0.916961,-2.376164,-3.931422,0.903772,-2.489169,-3.929731,0.904524,-2.271898,-3.870385,0.904477,-2.378006,0.240349,0.041922,-14.730861,0.430871,-0.012593,-14.591319,0.265911,0.030538,-14.783779,,,,0.442720,0.036746,-14.751167,,,,,,,,,
18,0.050000,-0.690766,0.027996,0.722503,-0.006955,-3.985508,0.907510,-2.378923,0.000000,-4.210827,0.917059,-2.376175,0.749055,-3.931355,0.903984,-2.489310,0.863355,-3.929576,0.904457,-2.272038,0.787935,-3.870274,0.904539,-2.378171,0.856908,-4.210827,0.917059,-2.376175,-3.931355,0.903984,-2.489310,-3.929576,0.904457,-2.272038,-3.870274,0.904539,-2.378171,0.239612,0.036710,-14.733392,0.430901,-0.012596,-14.591319,0.265475,0.030661,-14.783548,0.392146,0.020489,-14.794808,0.442201,0.033032,-14.752305,,,,,,,,,
19,0.052778,-0.690751,0.028624,0.722493,-0.006943,-3.985527,0.907413,-2.378848,0.000000,-4.210837,0.917164,-2.376109,0.749055,-3.931377,0.903741,-2.489231,0.863355,-3.929598,0.904406,-2.271960,0.787935,-3.870295,0.904341,-2.378093,0.856908,-4.210837,0.917164,-2.376109,-3.931377,0.903741,-2.489231,-3.929598,0.904406,-2.271960,-3.870295,0.904341,-2.378093,0.240442,0.042055,-14.730844,0.430646,-0.013971,-14.591515,0.265525,0.030683,-14.783535,,,,0.442054,0.037131,-14.750289,,,,,,,,,
20,0.055556,-0.690876,0.028239,0.722388,-0.006975,-3.985633,0.907348,-2.378895,0.000000,-4.210950,0.916966,-2.376222,0.749055,-3.931446,0.903764,-2.489262,0.863355,-3.929736,0.904320,-2.271990,0.787935,-3.870399,0.904344,-2.378104,0.856908,-4.210950,0.916966,-2.376222,-3.931446,0.903764,-2.489262,-3.929736,0.904320,-2.271990,-3.870399,0.904344,-2.378104,0.240416,0.042084,-14.730834,0.430914,-0.012605,-14.591256,0.265491,0.030618,-14.783545,0.392142,0.020488,-14.794787,0.441601,0.033682,-14.752079,,,,,,,,,
21,0.058333,-0.690862,0.027589,0.722426,-0.007104,-3.985514,0.907606,-2.378878,0.000000,-4.210841,0.916977,-2.376178,0.749055,-3.931333,0.904164,-2.489253,0.863355,-3.929604,0.904556,-2.271981,0.787935,-3.870277,0.904725,-2.378100,0.856908,-4.210841,0.916977,-2.376178,-3.931333,0.904164,-2.489253,-3.929604,0.904556,-2.271981,-3.870277,0.904725,-2.378100,0.240393,0.042057,-14.730836,0.430948,-0.012657,-14.591309,0.265512,0.030736,-14.783498,,,,0.441747,0.033329,-14.752010,,,,,,,,,
22,0.061111,-0.690876,0.027644,0.722410,-0.007070,-3.985534,0.907583,-2.378925,0.000000,-4.210861,0.916983,-2.376235,0.749055,-3.931349,0.904131,-2.489298,0.863355,-3.929630,0.904530,-2.272026,0.787935,-3.870298,0.904689,-2.378142,0.856908,-4.210861,0.916983,-2.376235,-3.931349,0.904131,-2.489298,-3.929630,0.904530,-2.272026,-3.870298,0.904689,-2.378142,0.240413,0.042180,-14.730769,,,,0.265953,0.030524,-14.783744,,,,0.442113,0.037777,-14.750642,,,,,,,,,
23,0.063889,-0.690814,0.028235,0.722451,-0.006577,-3.985544,0.907391,-2.378861,0.000000,-4.210855,0.917136,-2.376148,0.749055,-3.931376,0.903838,-2.489239,0.863355,-3.929633,0.904271,-2.271967,0.787935,-3.870312,0.904320,-2.378089,0.856908,-4.210855,0.917136,-2.376148,-3.931376,0.903838,-2.489239,-3.929633,0.904271,-2.271967,-3.870312,0.904320,-2.378089,0.240410,0.042084,-14.730837,0.430594,-0.014027,-14.591561,0.265873,0.030514,-14.783789,,,,0.441562,0.033722,-14.752045,,,,,,,,,
24,0.066667,-0.690743,0.028186,0.722517,-0.007035,-3.985532,0.907481,-2.378776,0.000000,-4.210850,0.917065,-2.376019,0.749055,-3.931386,0.903905,-2.489164,0.863355,-3.929595,0.904461,-2.271893,0.787935,-3.870298,0.904494,-2.378028,0.856908,-4.210850,0.917065,-2.376019,-3.931386,0.903905,-2.489164,-3.929595,0.904461,-2.271893,-3.870298,0.904494,-2.378028,0.239665,0.036622,-14.733454,0.430869,-0.012640,-14.591278,0.265838,0.030292,-14.783805,0.392112,0.020416,-14.794784,,,,,,,,,,,,
25,0.069444,-0.690692,0.027967,0.722572,-0.007241,-3.985499,0.907595,-2.378792,0.000000,-4.210822,0.917044,-2.375997,0.749055,-3.931369,0.904055,-2.489189,0.863355,-3.929543,0.904605,-2.271918,0.787935,-3.870263,0.904677,-2.378063,0.856908,-4.210822,0.917044,-2.375997,-3.931369,0.904055,-2.489189,-3.929543,0.904605,-2.271918,-3.870263,0.904677,-2.378063,0.239604,0.036648,-14.733445,0.430583,-0.014017,-14.591545,0.265772,0.030431,-14.783759,0.392085,0.020473,-14.794737,,,,,,,,,,,,
